objectID,accessionNumber,accessionYear,title,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,culture,objectDate,medium,dimensions,department,classification,primaryImageSmall,objectURL,tags
55570,JP3394,1960,Ladies Surrounding a Cart,Utamaro II,Japanese (died 1831?),,Utamaro II,Japanese,1750,1850,,Japan,,Triptych of woodblock prints; ink and color on paper,15 x 30 in. (38.1 x 76.2 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP147734.jpg,https://www.metmuseum.org/art/collection/search/55570,['Women']
54533,JP1960,1929,"Halberd, Brocade Robe and Seal",,,,,,,,,Japan,19th century,Woodblock print (surimono); ink and color on paper,8 1/8 x 7 3/8 in. (20.6 x 18.7 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP135771.jpg,https://www.metmuseum.org/art/collection/search/54533,"['Robes', 'Weapons', 'Seals']"
37256,JP812,1914,Interior Scene in the Yoshiwara,Hishikawa Moronobu,"Japanese, 1618–1694",,Hishikawa Moronobu,Japanese,1618,1694,,Japan,ca. 1680,Woodblock print; ink on paper,10 1/8 x 15 1/5 in. (25.7 x 38.6 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP130159.jpg,https://www.metmuseum.org/art/collection/search/37256,"['Food', 'Interiors', 'Men', 'Women', 'Dancing', 'Musicians']"
54961,JP2109,1929,"Sea Bream (Tai) on Nabeshima Porcelain Dish, Sake Cup on Stand, and Painting of a Peony",Ryūryūkyo Shinsai,"Japanese, active ca. 1799–1823",,Ryūryūkyo Shinsai,Japanese,1799,1823,,Japan,ca. 1820,Woodblock print (surimono); ink and color on paper,7 1/16 x 6 11/16 in. (17.9 x 17 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP138296.jpg,https://www.metmuseum.org/art/collection/search/54961,['Fish']
54960,JP2108,1929,Refined Lavers (A Kind of Sea Weed) and a Handy Writing Outfit with Pouch,Ryūryūkyo Shinsai,"Japanese, active ca. 1799–1823",,Ryūryūkyo Shinsai,Japanese,1799,1823,,Japan,probably 1819,Woodblock print (surimono); ink and color on paper,7 15/16 x 7 1/16 in. (20.2 x 17.9 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP138294.jpg,https://www.metmuseum.org/art/collection/search/54960,"['Rabbits', 'Flowers']"
54535,JP1961,1929,New Year’s Sake Bottles and Shrine Plaque (Ema) for the Year of the Rooster,Katsushika Hokusen,"Japanese, active first half of the nineteenth century",,Katsushika Hokusen,Japanese,1800,1850,,Japan,probably 1813 or 1825,Woodblock print (surimono); ink and color on paper,5 1/2 x 7 3/8 in. (14 x 18.7 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP135773.jpg,https://www.metmuseum.org/art/collection/search/54535,"['Food', 'Roosters']"
744432,"2016.751.6a, b",2016,A Mirror of Yoshiwara Beauties,Katsukawa Shunshō 勝川春章,"Japanese, 1726–1792",,Katsukawa Shunshō,Japanese,1726,1792,,Japan,1916 (reprint edition),"Woodblock printed book (Japanese-style binding), ink and color on paper",11 7/8 × 8 3/8 in. (30.1 × 21.3 cm),Asian Art,Illustrated Books,https://images.metmuseum.org/CRDImages/as/web-large/DP-13250-001.jpg,https://www.metmuseum.org/art/collection/search/744432,['Japanese']
37145,JP698,1911,"Night Rain at the Double-Shelf Stand, from the series Eight Parlor Views (Zashiki hakkei)",Suzuki Harunobu,"Japanese, 1725–1770",,Suzuki Harunobu,Japanese,1725,1770,,Japan,ca. 1766,"Woodblock print (first edition); ink and colors on paper, medium-sized print (chuban)",11 1/4 x 8 in. (28.6 x 20.3 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP119525.jpg,https://www.metmuseum.org/art/collection/search/37145,"['Boys', 'Women', 'Tea']"
56597,JP3084,1949,"Interior, Three Figures: Sake Party",Hasegawa Mitsunobu,"Japanese, active ca. 1724–1754",,Hasegawa Mitsunobu,Japanese,1724,1754,,Japan,ca. 1730,Monochrome woodblock print; ink on paper,10 1/2 x 15 in. (26.7 x 38.1 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP130246.jpg,https://www.metmuseum.org/art/collection/search/56597,"['Interiors', 'Men', 'Women', 'Drinking']"
54959,JP2107,1929,Tray with Noshi Paper (Noshi Indicates a Present),Totoya Hokkei,"Japanese, 1780–1850",,Totoya Hokkei,Japanese,1780,1850,,Japan,1816,Woodblock print (surimono); ink and color on paper,5 1/4 x 7 3/16 in. (13.3 x 18.3 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP138293.jpg,https://www.metmuseum.org/art/collection/search/54959,"['Flowers', 'Trays']"
54544,JP1963,1929,"Stone of Three Lights: Sun, Moon and Star",Keisai Eisen,"Japanese, 1790–1848",,Keisai Eisen,Japanese,1790,1848,,Japan,19th century,Woodblock print (surimono); ink and color on paper,7 11/16 x 7 1/8 in. (19.5 x 18.1 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP135775.jpg,https://www.metmuseum.org/art/collection/search/54544,"['Moon', 'Stars', 'Sun']"
54532,JP1959,1929,Street Scene in the New Year Season,Utagawa Kuninao,"Japanese, 1793–1854",,Utagawa Kuninao,Japanese,1793,1854,,Japan,1814,Woodblock print (surimono); ink and color on paper,8 5/16 x 7 1/4 in. (21.1 x 18.4 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP137840.jpg,https://www.metmuseum.org/art/collection/search/54532,"['Children', 'Women', 'Dogs']"
54537,JP1962,1929,Mirror and Stand,Kikugawa Eizan,"Japanese, 1787–1867",,Kikugawa Eizan,Japanese,1787,1867,,Japan,probably 1815,Woodblock print (surimono); ink and color on paper,5 x 7 1/16 in. (12.7 x 17.9 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP135774.jpg,https://www.metmuseum.org/art/collection/search/54537,['Mirrors']
37255,JP811,1914,A Banquet in a Joroya,Hishikawa Moronobu,"Japanese, 1618–1694",,Hishikawa Moronobu,Japanese,1618,1694,,Japan,ca. 1680,Monochrome woodblock print; ink and color on paper,10 1/8 x 15 1/5 in. (25.7 x 38.6 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP130158.jpg,https://www.metmuseum.org/art/collection/search/37255,"['Men', 'Women', 'Dining']"
37254,JP810,1914,The Kitchen of a Joroya.,Hishikawa Moronobu,"Japanese, 1618–1694",,Hishikawa Moronobu,Japanese,1618,1694,,Japan,ca. 1680,Woodblock print; ink and color on paper,10 1/8 x 15 1/5 in. (25.7 x 38.6 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP124573.jpg,https://www.metmuseum.org/art/collection/search/37254,"['Kitchens', 'Men', 'Women', 'Fish', 'Working']"
