## noun : declension : paradigm / eg / subtype / irregular
## split on colon
# p = paradigm
# e = exemplar
# s = subtype (e.g. s=cons stems)
# i = irregular

&n:1:p
auxilium, auxiliī n. ('help, aid')	auxilia, auxiliōrum ('auxiliary troops')
carcer, carceris m. ('prison, cell')	carcerēs, carcerum ('starting traps')
castrum, castrī n. ('fort, castle, fortress')	castra, castrōrum ('military camp, encampment')
cōpia, copiae f. ('plenty, much, abundance')	cōpiae, copiārum ('troops')
fortūna, fortūnae f. ('luck, chance')	fortūnae, fortūnārum ('wealth, fortune')
grātia, grātiae f. ('charm, favor')	grātiae, grātiārum ('thanks')
impedīmentum, impedīmentī m. ('impediment, hindrance')	impedīmenta, impedīmentōrum ('baggage, baggage train')
littera, litterae f. ('letter [alphabet]')	litterae, litterārum ('letter [message], epistle, scholarship, literature')
mōs, mōris m. ('habit, inclination')	mōrēs, mōrum m. ('morals, character')
opera, operae f. ('trouble, pains')	operae, operārum m. ('workmen')
*Ops, Opis f.[goddess] ('help')	opēs, opium ('resources, wealth')
pars, partis f. ('part, piece')	partēs, partium ('office, function')
